Rank,Model,Method,Precision,Recall,mAP50,mAP50-95
1,YOLOV9T,ACO,0.8395181118415145,0.8685242072935585,0.9037775402250632,0.8050268243400408
2,YOLOV9T,WOA,0.8674978432329141,0.8334545499917521,0.8970942657997796,0.7999509869931904
3,YOLOV9T,GWO,0.8590378736351258,0.830649095242252,0.8963518952955782,0.7900703646992742
4,YOLOV8N,Baseline,0.851,0.8504,0.8962,0.78
5,YOLOV9T,PSO,0.8706951172421219,0.815366681846417,0.8938490847183458,0.7936444649567062
6,YOLOV8N,PSO,0.8472832533211744,0.8461969057688294,0.8937453766728692,0.7724975544478019
7,YOLOV8N,ACO,0.8649168575324214,0.8358087470615473,0.8928934118666154,0.7689437476659109
8,YOLO11N,ACO,0.8392274779446742,0.8530134289393722,0.8913546929818313,0.7696416394627368
9,YOLOV8N,GWO,0.8750205296211,0.8059692417528241,0.8905758174713231,0.7749790955282878
10,RTDETR-L,PSO,0.8816398462971835,0.8063632527190242,0.8905314310348942,0.8004243293851493
11,YOLOV9T,Baseline,0.8266,0.845,0.889,0.7912
12,YOLO11N,WOA,0.8568058584290446,0.8320745000133678,0.8862590956018845,0.7686586674329468
13,YOLO11N,PSO,0.8611680734321576,0.8229407040926535,0.8848290199058052,0.7686985097344217
14,YOLOV8N,WOA,0.8474475134896128,0.8235976737196197,0.8830991084269446,0.7508622811567538
15,RTDETR-L,Baseline,0.8742,0.8118,0.883,0.7974
16,YOLO11N,GWO,0.8538540171889688,0.8122737528647642,0.8817852917702401,0.761818422438183
17,YOLO11N,Baseline,0.8648,0.8146,0.8816,0.7688
18,YOLO26N,GWO,0.8784284601731664,0.8231851674311381,0.8766891568407257,0.7838072051384024
19,YOLO26N,Baseline,0.8491682729414229,0.8155229672830666,0.873766245293881,0.7827939393719243
20,RTDETR-L,GWO,0.866864591003625,0.7956085161901425,0.870968402256574,0.7651242349432152
21,YOLO26N,WOA,0.866308296916802,0.8054991571472037,0.869935662323214,0.7795796190087583
22,RTDETR-L,WOA,0.891048682986067,0.7805068907481154,0.8675967428165757,0.7656296837410239
23,YOLO26N,PSO,0.8443079762779414,0.8009516561421549,0.8660784138320035,0.7636211892922921
24,YOLO26N,ACO,0.825069331871082,0.8138417887096377,0.8576163305007901,0.7618597752760653
25,YOLOV10N,ACO,0.8521550827746737,0.7868053496608025,0.8565501215158292,0.7455953933325269
26,YOLOV10N,PSO,0.8681572595077768,0.7691165535415657,0.8546406429979271,0.7395912570622271
27,YOLOV10N,WOA,0.8293876867765345,0.7794444000131757,0.8468299855953869,0.7445976286692702
28,YOLOV10N,GWO,0.8180975647588575,0.7902865138109394,0.843663337723054,0.7356072430932749
29,RTDETR-L,ACO,0.8128407683428941,0.7574406449088606,0.8305444940584696,0.7167685776034626
30,YOLOV10N,Baseline,0.7916,0.7742,0.8248,0.7192
