epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7751,0.53447,7.54278,0.6804,0.29286,0.50994,0.36445,0.29354,0.27623,1.11566,0.34256,0.00054889,0.00054889,0.00054889
2,70.9209,0.22153,0.81437,0.30145,0.6872,0.59583,0.62526,0.46232,0.38557,0.76839,0.60539,0.00108313,0.00108313,0.00108313
3,106.103,0.26507,0.70278,0.34368,0.66357,0.15467,0.21261,0.10636,0.66413,1.21788,0.98367,0.00159581,0.00159581,0.00159581
4,140.669,0.31925,0.95161,0.43073,0.29309,0.5863,0.35999,0.24413,0.43853,1.16143,0.66712,0.00156998,0.00156998,0.00156998
5,175.181,0.30938,0.89338,0.42491,0.35563,0.35059,0.28942,0.20041,0.5545,1.12367,0.79198,0.00153764,0.00153764,0.00153764
6,209.527,0.28913,0.86752,0.36835,0.46746,0.56913,0.47463,0.32866,0.35609,1.0139,0.44378,0.0015053,0.0015053,0.0015053
7,243.967,0.2484,0.82532,0.33049,0.61182,0.65392,0.68709,0.51912,0.39105,0.74452,0.53181,0.00147296,0.00147296,0.00147296
8,279.075,0.25092,0.74807,0.32426,0.83005,0.60437,0.72739,0.56076,0.34813,0.69449,0.48024,0.00144062,0.00144062,0.00144062
9,313.796,0.23781,0.69142,0.32334,0.64758,0.62148,0.64486,0.42944,0.39456,0.89363,0.62825,0.00140828,0.00140828,0.00140828
10,348.594,0.24848,0.72898,0.35998,0.64425,0.65437,0.66528,0.49421,0.32516,0.79214,0.4731,0.00137594,0.00137594,0.00137594
11,383.021,0.26706,0.73049,0.37417,0.55737,0.66083,0.5996,0.43361,nan,nan,nan,0.0013436,0.0013436,0.0013436
12,416.569,0.2583,0.75303,0.35576,0.6066,0.61158,0.6092,0.45483,0.32227,0.96701,0.46128,0.00131126,0.00131126,0.00131126
13,449.91,0.25081,0.71486,0.32589,0.61164,0.58765,0.54568,0.38376,0.36315,0.8615,0.56392,0.00127892,0.00127892,0.00127892
14,483.289,0.22816,0.69494,0.28783,0.77914,0.56596,0.67849,0.5097,nan,nan,nan,0.00124658,0.00124658,0.00124658
15,516.516,0.24413,0.69369,0.33296,0.59127,0.58223,0.5777,0.43691,nan,nan,nan,0.00121424,0.00121424,0.00121424
16,549.734,0.24312,0.70347,0.31083,0.71031,0.53452,0.63872,0.46554,nan,nan,nan,0.0011819,0.0011819,0.0011819
17,583.237,0.23026,0.68479,0.31362,0.73709,0.60346,0.63928,0.47245,nan,nan,nan,0.00114956,0.00114956,0.00114956
18,616.402,0.23511,0.66989,0.30795,0.62519,0.6872,0.68612,0.51591,0.30728,0.77318,0.48532,0.00111722,0.00111722,0.00111722
19,649.692,0.25468,0.73182,0.33574,0.41849,0.39546,0.33561,0.22071,nan,nan,nan,0.00108488,0.00108488,0.00108488
20,682.798,0.26624,0.72488,0.35587,0.52554,0.49789,0.48279,0.35071,0.3517,1.00439,0.49925,0.00105254,0.00105254,0.00105254
21,716.093,0.24944,0.74274,0.31324,0.55944,0.60437,0.55632,0.41222,0.44805,0.84697,0.61406,0.0010202,0.0010202,0.0010202
22,749.5,0.22982,0.72743,0.30534,0.60623,0.59518,0.67659,0.53575,0.31233,0.8014,0.43695,0.000987855,0.000987855,0.000987855
23,782.614,0.23232,0.67596,0.32792,0.57403,0.7003,0.63793,0.49712,0.3028,0.80795,0.45866,0.000955515,0.000955515,0.000955515
