epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2694,0.63587,7.4997,0.83124,0.12345,0.22738,0.17286,0.14622,0.31606,1.53814,0.47779,0.00054889,0.00054889,0.00054889
2,66.5674,0.25989,0.92451,0.3556,0.5076,0.6828,0.57547,0.41739,0.38534,0.81858,0.67004,0.00108318,0.00108318,0.00108318
3,99.8877,0.26278,0.85981,0.33097,0.49258,0.71889,0.56508,0.44598,0.29473,1.10215,0.50981,0.00159597,0.00159597,0.00159597
4,133.185,0.28223,0.84902,0.34371,0.5168,0.7308,0.63886,0.48809,0.25469,0.90102,0.43131,0.00157022,0.00157022,0.00157022
5,166.858,0.27485,0.78646,0.36296,0.66382,0.56557,0.55968,0.39885,0.33264,0.99797,0.52547,0.00153796,0.00153796,0.00153796
6,199.569,0.27122,0.73853,0.33269,0.28455,0.43241,0.25574,0.1316,nan,nan,nan,0.0015057,0.0015057,0.0015057
7,232.463,0.25691,0.71299,0.31815,0.70605,0.66939,0.74171,0.54609,0.30653,0.74802,0.53663,0.00147344,0.00147344,0.00147344
8,265.61,0.28182,0.72719,0.35928,0.74898,0.6756,0.69769,0.53938,0.27049,0.85711,0.42525,0.00144118,0.00144118,0.00144118
9,298.627,0.26993,0.73746,0.34856,0.71675,0.65576,0.72385,0.58211,0.26516,0.78667,0.42551,0.00140892,0.00140892,0.00140892
10,331.738,0.28402,0.774,0.37855,0.67824,0.59065,0.64157,0.4687,0.28408,0.80312,0.43464,0.00137666,0.00137666,0.00137666
11,364.537,0.29353,0.74019,0.40041,0.55897,0.61217,0.58094,0.43324,nan,nan,nan,0.0013444,0.0013444,0.0013444
12,397.259,0.29147,0.8812,0.37996,0.47928,0.69416,0.58092,0.4295,0.28694,1.22355,0.4851,0.00131214,0.00131214,0.00131214
13,430.016,0.30064,0.86109,0.3705,0.67882,0.59178,0.66022,0.45234,nan,nan,nan,0.00127988,0.00127988,0.00127988
14,463.029,0.28719,0.77158,0.37957,0.54583,0.69931,0.65692,0.47668,0.31916,0.83467,0.55922,0.00124762,0.00124762,0.00124762
15,495.685,0.27533,0.77631,0.35902,0.58928,0.65899,0.61699,0.43852,nan,nan,nan,0.00121536,0.00121536,0.00121536
16,528.219,0.26472,0.76045,0.36119,0.58748,0.73541,0.64715,0.50806,0.29765,0.70172,0.4824,0.0011831,0.0011831,0.0011831
17,560.749,0.28058,0.67931,0.35232,0.56152,0.72392,0.63127,0.4955,0.30218,0.80649,0.49054,0.00115084,0.00115084,0.00115084
18,593.174,0.23198,0.64896,0.29682,0.64144,0.78571,0.75255,0.59643,0.26898,0.66606,0.43493,0.00111858,0.00111858,0.00111858
19,626.348,0.22232,0.64629,0.27456,0.5889,0.78418,0.75266,0.59671,0.28468,0.88542,0.48147,0.00108632,0.00108632,0.00108632
20,659.094,0.21508,0.69327,0.27817,0.75895,0.70759,0.77026,0.62212,0.24917,0.63489,0.42799,0.00105406,0.00105406,0.00105406
21,691.904,0.23178,0.65817,0.2977,0.73641,0.64257,0.68295,0.55854,0.25492,0.80237,0.4366,0.0010218,0.0010218,0.0010218
22,724.856,0.25461,0.68967,0.34922,0.75865,0.63134,0.7171,0.57602,0.27046,0.77794,0.43215,0.000989543,0.000989543,0.000989543
23,757.609,0.23684,0.62495,0.29508,0.7533,0.64363,0.74308,0.56736,0.30882,0.65763,0.52477,0.000957283,0.000957283,0.000957283
24,790.652,0.26363,0.61475,0.33773,0.74595,0.67417,0.7297,0.55463,nan,nan,nan,0.000925023,0.000925023,0.000925023
25,823.372,0.23635,0.62839,0.29389,0.76394,0.76879,0.82851,0.67883,0.24236,0.57019,0.4204,0.000892763,0.000892763,0.000892763
26,856.357,0.24143,0.55556,0.29053,0.71243,0.66982,0.7556,0.63371,0.25243,0.68183,0.43953,0.000860503,0.000860503,0.000860503
27,889.144,0.21907,0.61153,0.2878,0.82114,0.6563,0.7782,0.65813,0.24847,0.64305,0.41081,0.000828243,0.000828243,0.000828243
28,921.882,0.21404,0.59438,0.26874,0.80663,0.69431,0.82364,0.67079,0.25426,0.57852,0.43102,0.000795983,0.000795983,0.000795983
29,954.896,0.22721,0.56042,0.28322,0.78603,0.75256,0.80699,0.64715,0.26389,0.57469,0.48036,0.000763724,0.000763724,0.000763724
30,987.752,0.21697,0.53066,0.26963,0.81261,0.74521,0.82569,0.69177,0.21364,0.5782,0.35111,0.000731464,0.000731464,0.000731464
31,1020.94,0.20539,0.53851,0.2484,0.72808,0.75547,0.80392,0.68737,0.23279,0.55691,0.40766,0.000699204,0.000699204,0.000699204
32,1053.52,0.20513,0.50001,0.24839,0.72714,0.83593,0.83728,0.72686,0.22021,0.5701,0.367,0.000666944,0.000666944,0.000666944
33,1086.43,0.19721,0.48217,0.24418,0.75643,0.77336,0.80929,0.67506,0.23539,0.60525,0.38083,0.000634684,0.000634684,0.000634684
34,1119.35,0.19516,0.49045,0.25961,0.81026,0.77535,0.82976,0.68977,0.23325,0.59162,0.40681,0.000602424,0.000602424,0.000602424
35,1152.01,0.17787,0.4671,0.23111,0.82698,0.79751,0.84625,0.71072,0.2475,0.52302,0.41971,0.000570164,0.000570164,0.000570164
36,1184.7,0.1687,0.40552,0.21204,0.80285,0.80692,0.86056,0.72238,0.24189,0.50565,0.42914,0.000537904,0.000537904,0.000537904
37,1217.58,0.16311,0.44357,0.21945,0.79097,0.8318,0.87524,0.73376,0.24386,0.50368,0.41891,0.000505645,0.000505645,0.000505645
38,1250.57,0.15862,0.39464,0.19135,0.80297,0.81144,0.87384,0.74821,0.20539,0.51518,0.37509,0.000473385,0.000473385,0.000473385
39,1283.96,0.15808,0.41099,0.20173,0.79698,0.83292,0.86817,0.75265,0.20705,0.53188,0.36162,0.000441125,0.000441125,0.000441125
40,1317.03,0.15298,0.3744,0.18039,0.84754,0.79625,0.87796,0.75985,0.2133,0.47263,0.36803,0.000408865,0.000408865,0.000408865
41,1351.18,0.13959,0.37321,0.15873,0.84173,0.78418,0.86564,0.75062,0.21371,0.52256,0.34394,0.000376605,0.000376605,0.000376605
42,1384.15,0.14474,0.40124,0.172,0.80808,0.80487,0.85034,0.72122,0.20895,0.51118,0.35898,0.000344345,0.000344345,0.000344345
43,1416.93,0.13927,0.35852,0.16865,0.868,0.81567,0.89128,0.76224,0.23249,0.45402,0.43085,0.000312085,0.000312085,0.000312085
44,1450.81,0.13448,0.33773,0.15,0.83657,0.84071,0.90468,0.78064,0.21687,0.45181,0.3694,0.000279825,0.000279825,0.000279825
45,1483.81,0.13567,0.31986,0.15087,0.89237,0.84711,0.90995,0.78765,0.21684,0.42889,0.38059,0.000247566,0.000247566,0.000247566
46,1517.08,0.13152,0.32093,0.14584,0.87866,0.81179,0.9018,0.76571,0.23719,0.49546,0.42545,0.000215306,0.000215306,0.000215306
47,1549.87,0.1221,0.30553,0.15203,0.87843,0.78356,0.88768,0.77552,0.21832,0.46248,0.39077,0.000183046,0.000183046,0.000183046
48,1582.47,0.12514,0.28372,0.14289,0.88496,0.81567,0.89246,0.79304,0.20011,0.44599,0.35343,0.000150786,0.000150786,0.000150786
49,1615.74,0.12432,0.29202,0.14151,0.86926,0.82373,0.88441,0.78286,0.20522,0.45259,0.34507,0.000118526,0.000118526,0.000118526
50,1648.54,0.12246,0.27053,0.1332,0.82705,0.82778,0.88689,0.78637,0.19416,0.48068,0.32235,8.62661e-05,8.62661e-05,8.62661e-05
