epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0301,0.56383,7.47189,0.71543,0.21156,0.44006,0.2852,0.23032,0.23943,1.24732,0.30254,0.00054889,0.00054889,0.00054889
2,67.9922,0.22692,0.80342,0.29994,0.73464,0.63313,0.72333,0.53378,0.31591,0.72817,0.53251,0.00108265,0.00108265,0.00108265
3,103.161,0.22226,0.70777,0.28578,0.65658,0.74066,0.74434,0.56452,0.31887,0.6869,0.44976,0.00159437,0.00159437,0.00159437
4,137.516,0.23504,0.61749,0.29998,0.77427,0.69029,0.75004,0.57376,0.29682,0.61545,0.42419,0.00156781,0.00156781,0.00156781
5,171.579,0.20995,0.61741,0.28324,0.74442,0.77165,0.79507,0.60258,0.31591,0.56754,0.49354,0.00153475,0.00153475,0.00153475
6,205.8,0.21852,0.61781,0.30069,0.78799,0.63077,0.73845,0.55752,0.29011,0.73679,0.42718,0.00150169,0.00150169,0.00150169
7,239.462,0.20147,0.57749,0.26169,0.77153,0.74373,0.78141,0.60907,0.31013,0.62281,0.48354,0.00146863,0.00146863,0.00146863
8,273.715,0.21273,0.54477,0.29395,0.65913,0.60488,0.70417,0.57068,0.29674,0.83422,0.36824,0.00143557,0.00143557,0.00143557
9,307.524,0.18273,0.54925,0.24573,0.77657,0.71325,0.75175,0.58764,0.29645,0.5928,0.4481,0.00140251,0.00140251,0.00140251
10,341.117,0.21225,0.49845,0.28361,0.74607,0.74365,0.78145,0.61345,0.27189,0.61764,0.44551,0.00136944,0.00136944,0.00136944
11,375.164,0.2179,0.60491,0.30349,0.69783,0.6869,0.73461,0.54402,0.29644,0.73497,0.48858,0.00133638,0.00133638,0.00133638
12,408.891,0.20495,0.57492,0.26898,0.84603,0.68178,0.76493,0.6059,0.28216,0.66151,0.43294,0.00130332,0.00130332,0.00130332
13,442.398,0.19741,0.50608,0.25917,0.74505,0.68268,0.74961,0.59715,0.25982,0.72047,0.39608,0.00127026,0.00127026,0.00127026
14,475.882,0.19002,0.5157,0.24239,0.79173,0.65517,0.77821,0.64272,0.26444,0.57341,0.38877,0.0012372,0.0012372,0.0012372
15,509.903,0.19907,0.53966,0.26261,0.82844,0.66973,0.80348,0.6357,0.26323,0.63605,0.41027,0.00120413,0.00120413,0.00120413
16,543.478,0.19316,0.48398,0.25398,0.89023,0.71506,0.83858,0.67089,0.26636,0.5862,0.41922,0.00117107,0.00117107,0.00117107
17,577.822,0.17863,0.44256,0.24723,0.859,0.72561,0.82713,0.67264,0.24358,0.59089,0.396,0.00113801,0.00113801,0.00113801
18,611.856,0.15822,0.45074,0.20181,0.72183,0.84292,0.84427,0.70562,0.22074,0.50163,0.30914,0.00110495,0.00110495,0.00110495
19,645.727,0.16334,0.44954,0.22871,0.83396,0.76291,0.83679,0.6837,0.26055,0.52546,0.40027,0.00107189,0.00107189,0.00107189
20,679.189,0.15745,0.40982,0.19423,0.83248,0.72577,0.81849,0.67508,0.23639,0.58431,0.34757,0.00103883,0.00103883,0.00103883
21,712.441,0.14666,0.38618,0.19876,0.84916,0.77048,0.83935,0.67646,0.2508,0.59183,0.36014,0.00100576,0.00100576,0.00100576
22,745.925,0.14955,0.40835,0.20602,0.91448,0.71837,0.85543,0.70048,0.25426,0.49502,0.36827,0.000972702,0.000972702,0.000972702
