epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4321,0.58826,7.42896,0.81487,0.36899,0.58756,0.44858,0.40876,0.13728,1.10626,0.18388,0.00054889,0.00054889,0.00054889
2,69.6986,0.23007,0.80766,0.30408,0.62838,0.8318,0.7356,0.60504,0.24906,0.59843,0.36467,0.00108352,0.00108352,0.00108352
3,104.07,0.25097,0.85178,0.33385,0.66048,0.61833,0.69832,0.52341,0.30444,0.74316,0.56539,0.00159699,0.00159699,0.00159699
4,138.509,0.26398,0.78252,0.34918,0.66409,0.55952,0.58688,0.46804,0.30931,0.97536,0.49508,0.00157177,0.00157177,0.00157177
5,173.13,0.29113,0.81576,0.38439,0.60795,0.52304,0.53797,0.36696,0.36672,1.15348,0.64039,0.00154002,0.00154002,0.00154002
6,207.392,0.28557,0.71076,0.33955,0.68716,0.69018,0.71962,0.5729,0.25586,0.77809,0.42084,0.00150828,0.00150828,0.00150828
7,241.478,0.27161,0.70935,0.3474,0.58194,0.64357,0.67205,0.50311,0.27164,0.89739,0.48904,0.00147653,0.00147653,0.00147653
8,275.222,0.26201,0.67935,0.34338,0.68148,0.73278,0.75456,0.59802,0.23803,0.82871,0.37746,0.00144479,0.00144479,0.00144479
9,309.224,0.233,0.63797,0.27379,0.81633,0.73118,0.79718,0.64755,0.26135,0.56042,0.42919,0.00141304,0.00141304,0.00141304
10,343.6,0.2366,0.6459,0.29677,0.72047,0.71863,0.82926,0.68492,0.25927,0.6538,0.4595,0.0013813,0.0013813,0.0013813
11,377.795,0.21424,0.51974,0.26051,0.81781,0.69931,0.79008,0.6512,0.27377,0.5413,0.38279,0.00134955,0.00134955,0.00134955
12,411.754,0.19322,0.58331,0.24509,0.75618,0.74574,0.80309,0.69028,0.23508,0.59247,0.39827,0.00131781,0.00131781,0.00131781
13,445.945,0.1959,0.5186,0.25395,0.7638,0.85009,0.84545,0.6971,0.25496,0.50247,0.45749,0.00128607,0.00128607,0.00128607
14,480.152,0.18464,0.51942,0.23109,0.72139,0.81875,0.81654,0.67793,0.22363,0.74496,0.36796,0.00125432,0.00125432,0.00125432
15,514.314,0.1878,0.5427,0.25372,0.76212,0.77753,0.81157,0.70121,0.20209,0.54615,0.30568,0.00122258,0.00122258,0.00122258
16,548.357,0.17035,0.48924,0.22528,0.76867,0.79778,0.84602,0.69689,0.22413,0.55238,0.35473,0.00119083,0.00119083,0.00119083
17,583.028,0.18808,0.44748,0.23195,0.80155,0.74309,0.80074,0.70661,0.21929,0.71436,0.35189,0.00115909,0.00115909,0.00115909
18,617.74,0.16022,0.42934,0.19386,0.79743,0.77112,0.82247,0.72779,0.21646,0.59949,0.32124,0.00112734,0.00112734,0.00112734
19,652.61,0.16381,0.4006,0.2112,0.84557,0.73752,0.83414,0.71415,0.21678,0.57047,0.35701,0.0010956,0.0010956,0.0010956
