epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46467,0.9104,5.78568,0.01036,0.005,0.9375,0.25586,0.18606,0.62133,6.8601,0.00767,0.0003334,0.0003334,0.0003334
2,10.6477,0.91489,5.00378,0.01113,0.00482,0.90625,0.29061,0.24686,0.69866,6.71652,0.00914,0.000670417,0.000670417,0.000670417
3,15.825,0.99853,4.56388,0.01259,0.00498,0.91667,0.39839,0.31264,0.92497,6.41709,0.01349,0.000994063,0.000994063,0.000994063
4,20.8863,1.0727,4.03759,0.01423,0.62255,0.25833,0.4135,0.33698,0.88555,5.78251,0.01249,0.00130434,0.00130434,0.00130434
5,27.0726,1.14167,3.5108,0.01357,0.58412,0.43126,0.50311,0.37188,1.17837,5.16467,0.01917,0.00153965,0.00153965,0.00153965
6,32.5617,1.2335,3.14327,0.01474,0.54075,0.51042,0.56213,0.41862,1.15482,4.2649,0.01637,0.00150782,0.00150782,0.00150782
7,37.6502,1.12087,2.8653,0.01514,0.65158,0.59505,0.67414,0.49812,1.21685,3.80424,0.01873,0.00147598,0.00147598,0.00147598
8,42.7257,1.10334,2.52856,0.0141,0.57029,0.61562,0.56956,0.40389,1.33009,3.55286,0.02142,0.00144414,0.00144414,0.00144414
9,47.8208,1.12302,2.28807,0.01521,0.5765,0.575,0.63143,0.49542,1.14447,2.99599,0.01737,0.00141231,0.00141231,0.00141231
10,52.8412,1.10165,2.18307,0.01432,0.62967,0.6375,0.64043,0.47805,1.17236,2.93268,0.01767,0.00138047,0.00138047,0.00138047
11,57.8922,1.10419,1.95302,0.01354,0.72132,0.61458,0.67296,0.52681,1.06085,2.59767,0.01505,0.00134863,0.00134863,0.00134863
12,62.9649,1.0674,1.91282,0.01336,0.70254,0.62829,0.68528,0.55116,1.135,2.31142,0.01721,0.0013168,0.0013168,0.0013168
13,68.0481,1.06038,1.72482,0.01297,0.65584,0.65077,0.6826,0.55453,1.08958,2.16409,0.0157,0.00128496,0.00128496,0.00128496
14,73.1362,1.11347,1.57834,0.01372,0.70778,0.65312,0.72628,0.55461,1.16958,1.99547,0.01803,0.00125312,0.00125312,0.00125312
15,78.2676,1.04685,1.45131,0.01297,0.66916,0.75553,0.75384,0.59378,1.12608,1.87054,0.01521,0.00122129,0.00122129,0.00122129
16,83.3896,1.06958,1.33829,0.01343,0.67423,0.63278,0.69464,0.54022,1.11729,1.93975,0.01696,0.00118945,0.00118945,0.00118945
17,88.6956,1.06041,1.29481,0.01322,0.63447,0.69365,0.72211,0.56693,1.1213,1.80989,0.01705,0.00115761,0.00115761,0.00115761
18,94.0322,1.0058,1.21962,0.01366,0.74473,0.61052,0.6837,0.5436,1.09396,1.77223,0.01635,0.00112578,0.00112578,0.00112578
19,99.3609,1.0016,1.14214,0.01249,0.77127,0.69167,0.73117,0.61024,0.98212,1.51486,0.01409,0.00109394,0.00109394,0.00109394
20,104.457,0.90034,1.07328,0.01143,0.6842,0.7125,0.73714,0.60731,0.96634,1.5577,0.01405,0.0010621,0.0010621,0.0010621
21,109.424,0.90584,0.9688,0.01118,0.75312,0.73333,0.76162,0.64051,0.96348,1.38538,0.01341,0.00103027,0.00103027,0.00103027
22,114.535,0.92742,0.99493,0.0109,0.62878,0.78586,0.77903,0.65502,0.9695,1.38261,0.01267,0.000998431,0.000998431,0.000998431
23,119.558,0.92635,0.95961,0.01228,0.70973,0.74167,0.76222,0.63778,0.94953,1.38992,0.01207,0.000966595,0.000966595,0.000966595
24,124.607,0.88778,0.9123,0.01071,0.81235,0.69688,0.76835,0.64106,0.98185,1.3568,0.01341,0.000934758,0.000934758,0.000934758
25,129.623,0.83245,0.8937,0.00972,0.75241,0.67604,0.74547,0.62068,0.93537,1.33427,0.01312,0.000902922,0.000902922,0.000902922
26,134.705,0.87714,0.88147,0.01076,0.76174,0.70564,0.77418,0.66244,0.94196,1.40776,0.01242,0.000871085,0.000871085,0.000871085
27,139.727,0.84597,0.83175,0.01003,0.77469,0.74044,0.77079,0.65367,0.94575,1.28632,0.01285,0.000839248,0.000839248,0.000839248
28,145.089,0.82287,0.77575,0.01026,0.78183,0.69375,0.76529,0.64344,0.94123,1.29704,0.01293,0.000807412,0.000807412,0.000807412
29,150.085,0.88108,0.82268,0.01089,0.79815,0.76001,0.79731,0.66723,0.90345,1.21549,0.01253,0.000775575,0.000775575,0.000775575
30,155.167,0.81716,0.76988,0.00963,0.69907,0.82083,0.81305,0.69583,0.8538,1.13182,0.01132,0.000743739,0.000743739,0.000743739
31,160.691,0.79848,0.72966,0.00907,0.81785,0.74156,0.80661,0.69045,0.89589,1.0931,0.01236,0.000711902,0.000711902,0.000711902
32,166.065,0.80476,0.69313,0.00907,0.75259,0.78854,0.80517,0.69147,0.88656,1.13888,0.01251,0.000680065,0.000680065,0.000680065
33,171.167,0.78087,0.6655,0.00932,0.73291,0.73542,0.78326,0.68385,0.82048,1.22868,0.01102,0.000648229,0.000648229,0.000648229
34,176.229,0.74464,0.66048,0.00861,0.71855,0.78444,0.80497,0.68191,0.91413,1.20401,0.01257,0.000616392,0.000616392,0.000616392
35,181.233,0.77115,0.63743,0.00934,0.81557,0.73924,0.82068,0.70023,0.88349,1.10032,0.01166,0.000584556,0.000584556,0.000584556
36,186.297,0.73586,0.59858,0.00866,0.8042,0.79792,0.828,0.73291,0.77418,1.09645,0.01009,0.000552719,0.000552719,0.000552719
37,191.26,0.73152,0.61068,0.00871,0.80695,0.70833,0.81625,0.7095,0.83991,1.13318,0.01183,0.000520883,0.000520883,0.000520883
38,196.277,0.7787,0.64499,0.00915,0.71698,0.77736,0.80947,0.7102,0.80283,1.09564,0.0104,0.000489046,0.000489046,0.000489046
39,201.605,0.7656,0.58043,0.00927,0.78366,0.79466,0.84016,0.73541,0.83712,1.01703,0.01117,0.000457209,0.000457209,0.000457209
40,206.659,0.70912,0.54567,0.00866,0.81809,0.73495,0.83492,0.71253,0.93455,1.05348,0.01273,0.000425373,0.000425373,0.000425373
41,213.724,0.57647,0.48818,0.00779,0.88233,0.7,0.83209,0.71234,0.87566,1.07349,0.01164,0.000393536,0.000393536,0.000393536
42,218.718,0.57091,0.4793,0.00847,0.80903,0.7125,0.82243,0.70507,0.86704,1.09571,0.01156,0.0003617,0.0003617,0.0003617
43,223.789,0.55323,0.45486,0.00802,0.79882,0.76354,0.8323,0.70462,0.85878,1.10102,0.01176,0.000329863,0.000329863,0.000329863
44,229.345,0.58455,0.43609,0.00812,0.74225,0.80929,0.82977,0.70862,0.81965,1.09188,0.01129,0.000298026,0.000298026,0.000298026
45,234.377,0.56285,0.42744,0.00826,0.76831,0.74086,0.82452,0.70376,0.80089,1.08935,0.01096,0.00026619,0.00026619,0.00026619
46,239.381,0.52725,0.40528,0.00713,0.81164,0.76457,0.82972,0.70069,0.84268,1.04978,0.01178,0.000234353,0.000234353,0.000234353
47,244.303,0.52859,0.42418,0.00736,0.8363,0.7515,0.83162,0.71618,0.8222,1.0285,0.01123,0.000202517,0.000202517,0.000202517
48,249.224,0.50873,0.4228,0.00685,0.84302,0.74489,0.84054,0.72427,0.79613,1.01493,0.0103,0.00017068,0.00017068,0.00017068
49,254.195,0.49853,0.42478,0.00698,0.8362,0.74792,0.83935,0.71827,0.82199,1.02314,0.0109,0.000138843,0.000138843,0.000138843
50,259.138,0.4768,0.4066,0.00655,0.77413,0.78225,0.83614,0.72278,0.80523,1.02305,0.01055,0.000107007,0.000107007,0.000107007
