epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6194,0.64461,5.09674,0.00985,0.00467,0.91935,0.24105,0.16489,0.53815,7.77413,0.01161,0.0003334,0.0003334,0.0003334
2,22.9138,0.66699,4.6094,0.01017,0.00445,0.90323,0.27931,0.23309,0.51972,7.5488,0.00907,0.000669937,0.000669937,0.000669937
3,28.1569,0.75333,3.90759,0.01168,0.76722,0.12943,0.42197,0.32061,0.69135,7.22778,0.01379,0.000992612,0.000992612,0.000992612
4,33.2502,0.83238,3.48588,0.01261,0.59079,0.48325,0.49962,0.38148,0.79555,6.2674,0.01705,0.00130142,0.00130142,0.00130142
5,38.2665,0.79037,3.20762,0.01261,0.4817,0.46752,0.45233,0.29725,0.85811,5.80067,0.01877,0.00153497,0.00153497,0.00153497
6,44.1434,0.84392,2.81779,0.01326,0.58143,0.59356,0.59574,0.45601,0.82938,4.73304,0.018,0.00150197,0.00150197,0.00150197
7,49.2261,0.79842,2.50574,0.01279,0.58179,0.61973,0.60234,0.45407,0.84994,4.21113,0.01949,0.00146896,0.00146896,0.00146896
8,54.3236,0.8159,2.18525,0.01357,0.57933,0.74499,0.67579,0.51579,0.92142,3.55003,0.02122,0.00143595,0.00143595,0.00143595
9,59.4966,0.83742,2.12505,0.01388,0.63953,0.63648,0.67808,0.53372,0.81672,3.23373,0.01735,0.00140295,0.00140295,0.00140295
10,64.6266,0.81762,1.86179,0.01232,0.64383,0.54617,0.60041,0.47602,0.83286,3.24369,0.01737,0.00136994,0.00136994,0.00136994
11,69.7193,0.8299,1.78634,0.0138,0.62772,0.6902,0.72321,0.55353,0.84674,2.70887,0.01886,0.00133693,0.00133693,0.00133693
12,74.8629,0.82284,1.651,0.01278,0.69098,0.71298,0.74289,0.57995,0.88328,2.37946,0.02009,0.00130393,0.00130393,0.00130393
13,79.9385,0.75313,1.47044,0.01164,0.69635,0.72223,0.7802,0.592,0.84451,2.12905,0.02053,0.00127092,0.00127092,0.00127092
14,85.071,0.78115,1.42611,0.01295,0.74746,0.71813,0.78482,0.58571,0.90973,2.10179,0.02188,0.00123791,0.00123791,0.00123791
15,90.4453,0.71331,1.22232,0.0113,0.6996,0.73939,0.77857,0.59345,0.88216,1.97715,0.02002,0.00120491,0.00120491,0.00120491
16,95.5427,0.73678,1.26052,0.01197,0.81421,0.68465,0.7602,0.60757,0.82775,1.80355,0.01859,0.0011719,0.0011719,0.0011719
17,100.694,0.74534,1.14828,0.01178,0.704,0.71901,0.77841,0.61479,0.8408,1.75563,0.01792,0.00113889,0.00113889,0.00113889
18,105.876,0.72374,1.04675,0.01085,0.80774,0.64204,0.78349,0.61934,0.85361,1.60354,0.01978,0.00110589,0.00110589,0.00110589
19,111.002,0.74544,1.04752,0.01227,0.76973,0.68669,0.78662,0.66207,0.75774,1.57729,0.01582,0.00107288,0.00107288,0.00107288
