epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46962,0.58484,2.50991,1.14545,0.87827,0.10036,0.44205,0.31058,0.62355,3.01596,1.3617,0.0003334,0.0003334,0.0003334
2,8.55742,0.59054,1.67436,1.17569,0.53686,0.49076,0.50452,0.35468,0.66917,2.64942,1.39886,0.000670224,0.000670224,0.000670224
3,12.6019,0.64101,1.55944,1.1935,0.69127,0.50681,0.61703,0.34414,0.93755,2.67771,2.14228,0.000993477,0.000993477,0.000993477
4,16.5982,0.71677,1.64925,1.25503,0.60228,0.58903,0.59333,0.38888,0.81606,2.34767,1.70777,0.00130316,0.00130316,0.00130316
5,20.5349,0.67577,1.54048,1.20706,0.50002,0.50295,0.48268,0.29932,1.02676,2.69491,2.01503,0.00153777,0.00153777,0.00153777
6,24.4404,0.74866,1.46088,1.27621,0.62248,0.68229,0.66465,0.4531,0.85981,2.42307,1.80595,0.00150546,0.00150546,0.00150546
7,28.3801,0.73065,1.44295,1.25453,0.65134,0.48794,0.58572,0.37268,0.86412,2.31776,1.71955,0.00147315,0.00147315,0.00147315
8,32.3287,0.71095,1.35862,1.22802,0.70972,0.44195,0.41835,0.27079,0.87116,3.16484,1.67266,0.00144084,0.00144084,0.00144084
9,36.2012,0.68668,1.35505,1.22663,0.5961,0.71275,0.71972,0.51454,0.78134,1.93265,1.50788,0.00140853,0.00140853,0.00140853
10,40.173,0.6689,1.29857,1.2098,0.66195,0.79033,0.73767,0.54703,0.73424,1.55824,1.48524,0.00137622,0.00137622,0.00137622
11,44.1004,0.66535,1.17415,1.18729,0.5326,0.70009,0.64179,0.45126,0.71587,2.03421,1.4516,0.00134391,0.00134391,0.00134391
12,48.1948,0.62149,1.0795,1.15861,0.59658,0.51327,0.5965,0.41289,0.77568,2.41126,1.55805,0.00131161,0.00131161,0.00131161
13,52.4509,0.63844,1.10396,1.17495,0.77143,0.52535,0.69581,0.51323,0.72419,1.61943,1.45014,0.0012793,0.0012793,0.0012793
14,56.4428,0.60861,1.05705,1.14045,0.79297,0.75001,0.79072,0.5474,0.75616,1.46751,1.46968,0.00124699,0.00124699,0.00124699
15,60.3913,0.58885,0.95332,1.12974,0.74794,0.75875,0.79805,0.6143,0.66257,1.33241,1.42109,0.00121468,0.00121468,0.00121468
16,64.2732,0.58731,0.99696,1.12611,0.86083,0.7473,0.83584,0.63762,0.71023,1.21777,1.42637,0.00118237,0.00118237,0.00118237
17,68.1125,0.57223,0.93497,1.13949,0.78629,0.77789,0.8263,0.62759,0.70351,1.22901,1.42928,0.00115006,0.00115006,0.00115006
18,72.0176,0.56492,0.95478,1.13285,0.77259,0.72043,0.79923,0.58784,0.67661,1.16814,1.39158,0.00111776,0.00111776,0.00111776
19,75.8684,0.55668,0.9043,1.11096,0.86467,0.77995,0.86181,0.678,0.60688,1.04603,1.29741,0.00108545,0.00108545,0.00108545
20,79.8044,0.54495,0.8353,1.12161,0.89613,0.71966,0.8409,0.66766,0.57998,1.04586,1.30384,0.00105314,0.00105314,0.00105314
21,83.6876,0.5313,0.84548,1.10718,0.82657,0.66354,0.79156,0.62247,0.59348,1.16491,1.30168,0.00102083,0.00102083,0.00102083
