epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53732,0.63091,2.48314,1.13509,0.48009,0.1345,0.37484,0.27526,0.6094,2.9074,1.13898,0.0003334,0.0003334,0.0003334
2,8.66436,0.67212,1.65911,1.17092,0.77735,0.55527,0.64191,0.45713,0.78711,2.52194,1.32877,0.00067027,0.00067027,0.00067027
3,12.8457,0.69182,1.44955,1.17129,0.69096,0.51887,0.56378,0.37935,0.8755,2.64643,1.46306,0.000993619,0.000993619,0.000993619
4,16.8862,0.70418,1.37372,1.14573,0.52079,0.62097,0.4757,0.29203,1.03125,2.51367,1.67473,0.00130345,0.00130345,0.00130345
5,20.8023,0.72872,1.38062,1.1851,0.66283,0.51608,0.6042,0.38429,1.00784,2.21545,1.56241,0.00153822,0.00153822,0.00153822
6,24.7761,0.74069,1.32289,1.18162,0.64675,0.67711,0.71673,0.43493,0.96742,1.86364,1.59543,0.00150603,0.00150603,0.00150603
7,28.7146,0.69854,1.25696,1.16071,0.47311,0.68087,0.57719,0.34733,0.97113,2.16853,1.50319,0.00147383,0.00147383,0.00147383
8,32.7072,0.67315,1.18329,1.1504,0.62126,0.62723,0.63403,0.42749,0.94883,1.81759,1.48749,0.00144164,0.00144164,0.00144164
9,36.6399,0.67442,1.15334,1.14917,0.46527,0.56072,0.4682,0.29243,0.8719,2.41732,1.45303,0.00140944,0.00140944,0.00140944
10,40.5833,0.67393,1.10477,1.15466,0.60212,0.48645,0.50428,0.36786,0.90829,2.06909,1.43282,0.00137725,0.00137725,0.00137725
11,44.5146,0.67828,1.10242,1.17036,0.64437,0.6256,0.62678,0.44336,0.88212,1.84548,1.42348,0.00134505,0.00134505,0.00134505
12,48.374,0.67533,1.08333,1.16425,0.54394,0.53858,0.54585,0.35768,0.97034,2.12368,1.56586,0.00131286,0.00131286,0.00131286
13,52.275,0.64356,0.95193,1.12074,0.76966,0.63897,0.70692,0.49712,0.86321,1.71344,1.36079,0.00128066,0.00128066,0.00128066
14,56.2188,0.62251,0.95357,1.10785,0.78801,0.69275,0.76565,0.52948,0.83365,1.40296,1.3213,0.00124847,0.00124847,0.00124847
15,61.2765,0.62692,0.94212,1.14161,0.73018,0.70092,0.78999,0.52877,0.8513,1.3917,1.43358,0.00121627,0.00121627,0.00121627
16,65.2426,0.63526,0.92859,1.12903,0.68196,0.52395,0.55596,0.40981,0.77591,1.82725,1.26349,0.00118408,0.00118408,0.00118408
17,69.1185,0.60485,0.91795,1.09253,0.78659,0.62734,0.75682,0.55818,0.84901,1.5184,1.41148,0.00115188,0.00115188,0.00115188
18,72.9916,0.58433,0.8504,1.08267,0.78655,0.75746,0.80313,0.61494,0.75958,1.13494,1.27158,0.00111969,0.00111969,0.00111969
19,76.8932,0.57546,0.78816,1.08183,0.8267,0.74473,0.82432,0.643,0.7374,1.05133,1.25176,0.00108749,0.00108749,0.00108749
20,80.8347,0.59678,0.78008,1.09752,0.76722,0.70753,0.80939,0.56796,0.79006,1.14111,1.33413,0.0010553,0.0010553,0.0010553
21,84.7174,0.54035,0.76558,1.05029,0.72988,0.71926,0.75221,0.5793,0.72559,1.23327,1.2147,0.0010231,0.0010231,0.0010231
22,88.6374,0.59142,0.81073,1.11005,0.83119,0.69496,0.8216,0.63314,0.76452,1.13333,1.26054,0.00099091,0.00099091,0.00099091
23,92.5378,0.54384,0.7323,1.05612,0.86405,0.81577,0.86757,0.64032,0.73424,0.97499,1.23674,0.000958715,0.000958715,0.000958715
24,96.4736,0.55321,0.75693,1.0941,0.81547,0.73133,0.81898,0.63171,0.69018,0.99736,1.19189,0.000926521,0.000926521,0.000926521
25,100.366,0.52277,0.70781,1.04157,0.77648,0.74095,0.7885,0.59946,0.75534,1.09283,1.27979,0.000894326,0.000894326,0.000894326
26,104.293,0.50605,0.70934,1.04763,0.7828,0.68961,0.75608,0.55158,0.85214,1.26622,1.45736,0.000862131,0.000862131,0.000862131
27,108.198,0.50411,0.66978,1.02661,0.82695,0.74985,0.83569,0.63271,0.71843,0.98838,1.24954,0.000829936,0.000829936,0.000829936
28,112.098,0.50956,0.64862,1.04021,0.71013,0.78133,0.81847,0.62388,0.76048,1.0888,1.29979,0.000797742,0.000797742,0.000797742
