epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94171,0.54866,2.47502,1.17592,0.57274,0.47356,0.46453,0.35683,0.51389,2.80219,1.122,0.0003334,0.0003334,0.0003334
2,16.5665,0.5409,1.62397,1.16411,0.73435,0.50938,0.66938,0.52563,0.54252,2.49395,1.14548,0.000670184,0.000670184,0.000670184
3,24.2579,0.57961,1.48955,1.17768,0.63098,0.61721,0.56649,0.37477,0.75446,2.50768,1.35167,0.000993358,0.000993358,0.000993358
4,31.6776,0.59079,1.38876,1.16564,0.64727,0.63306,0.66201,0.43447,0.76403,2.03789,1.39012,0.00130292,0.00130292,0.00130292
5,39.8103,0.61695,1.39284,1.1985,0.62779,0.57917,0.59957,0.43626,0.73388,2.52513,1.32331,0.00153738,0.00153738,0.00153738
6,47.6307,0.66962,1.36107,1.26137,0.57835,0.52604,0.55129,0.34781,0.87843,2.13635,1.69687,0.00150498,0.00150498,0.00150498
7,54.7332,0.64838,1.30183,1.2396,0.65672,0.70141,0.70755,0.4677,0.74955,1.83395,1.61822,0.00147257,0.00147257,0.00147257
8,61.89,0.60722,1.23187,1.22401,0.68855,0.67543,0.71045,0.50468,0.768,1.68183,1.54818,0.00144017,0.00144017,0.00144017
9,69.4646,0.61793,1.20022,1.23692,0.76759,0.58586,0.7155,0.50113,0.72628,1.79216,1.42553,0.00140776,0.00140776,0.00140776
10,76.5251,0.61143,1.13467,1.22655,0.71255,0.64479,0.6877,0.47597,0.74209,1.59766,1.41139,0.00137536,0.00137536,0.00137536
11,83.694,0.61808,1.08454,1.23363,0.72036,0.67604,0.75794,0.49211,0.73486,1.47292,1.39503,0.00134295,0.00134295,0.00134295
12,91.0086,0.5409,0.98603,1.15261,0.82619,0.62912,0.78009,0.57581,0.6412,1.42256,1.3025,0.00131055,0.00131055,0.00131055
13,98.2712,0.56833,1.03994,1.18135,0.80178,0.742,0.80113,0.60419,0.60078,1.28034,1.21511,0.00127814,0.00127814,0.00127814
14,106.126,0.57074,1.02063,1.19811,0.79709,0.72762,0.7927,0.56307,0.68557,1.40345,1.33767,0.00124574,0.00124574,0.00124574
15,113.933,0.5666,0.93917,1.15154,0.68456,0.74792,0.74171,0.54056,0.69112,1.46843,1.33064,0.00121333,0.00121333,0.00121333
16,121.21,0.54949,0.94591,1.16682,0.76104,0.72188,0.80088,0.62535,0.58108,1.19212,1.16325,0.00118093,0.00118093,0.00118093
17,128.225,0.52789,0.92326,1.14097,0.76679,0.66667,0.75158,0.61145,0.60177,1.34256,1.17785,0.00114853,0.00114853,0.00114853
18,135.579,0.53074,0.91161,1.1642,0.6678,0.80458,0.79717,0.6033,0.57936,1.19727,1.15334,0.00111612,0.00111612,0.00111612
19,142.723,0.52103,0.85939,1.12654,0.71785,0.77054,0.78794,0.62607,0.56133,1.26228,1.15212,0.00108372,0.00108372,0.00108372
20,150.05,0.51227,0.81897,1.12418,0.71506,0.77401,0.78153,0.60146,0.60817,1.31348,1.19004,0.00105131,0.00105131,0.00105131
21,157.074,0.54162,0.83256,1.13982,0.76549,0.69414,0.77541,0.59941,0.61215,1.19804,1.23058,0.00101891,0.00101891,0.00101891
22,164.283,0.49487,0.76807,1.11813,0.80752,0.70556,0.81463,0.63698,0.56638,1.1723,1.16667,0.000986502,0.000986502,0.000986502
23,171.89,0.48855,0.77732,1.11765,0.7383,0.75521,0.78297,0.63746,0.56156,1.15944,1.16782,0.000954097,0.000954097,0.000954097
